,word,category,percent
161,wwwamazonco,General Merchandise,1.0
162,ddbr,Food and Beverages,0.98
163,taqueria,Food and Beverages,0.99
164,thai,Food and Beverages,0.97
165,q07,Food and Beverages,0.99
166,adobe,General Merchandise,0.97
167,payments,General Merchandise,0.9
168,diner,Food and Beverages,0.98
169,wingstop,Food and Beverages,0.99
170,culvers,Food and Beverages,0.99
171,tjmaxx,General Merchandise,1.0
172,parts,Automotive,0.95
173,clips,General Merchandise,0.99
174,winndixie,Groceries,1.0
175,wwwdoordashca,Food and Beverages,0.94
176,theatres,Entertainment,0.99
177,staples,General Merchandise,0.99
178,hulu,Entertainment,0.98
179,dennys,Food and Beverages,0.99
180,roku,Entertainment,0.98
181,snack,Food and Beverages,0.97
182,amzncomprme,General Merchandise,0.95
183,audible,General Merchandise,0.9
184,amznco,General Merchandise,0.98
185,waffle,Food and Beverages,1.0
186,soopers,Groceries,0.96
187,chip,Food and Beverages,0.91
188,wendy,Food and Beverages,0.99
189,steak,Food and Beverages,0.98
190,cents,General Merchandise,0.95
191,hortons,Food and Beverages,0.98
192,playrix,General Merchandise,0.93
193,nail,General Merchandise,0.98
194,tavern,Food and Beverages,0.9
195,regal,Entertainment,0.96
196,conoco,Automotive,0.96
197,pizzeria,Food and Beverages,0.98
198,nayax,Food and Beverages,0.93
199,golf,Entertainment,0.92
200,onlyfanscom,Entertainment,0.94
201,salon,General Merchandise,0.96
202,outside,Automotive,0.99
203,buffet,Food and Beverages,0.98
204,hyvee,Groceries,0.95
205,lounge,Food and Beverages,0.91
206,inside,Automotive,0.95
207,auntie,Food and Beverages,0.99
208,laundry,General Merchandise,0.99
209,guys,Food and Beverages,0.98
210,memotarget,General Merchandise,0.95
211,supermarket,Groceries,0.91
212,beer,Food and Beverages,0.95
213,tractor,General Merchandise,0.98
214,sally,General Merchandise,0.98
215,cenex,Automotive,0.94
216,chewycom,Pets/Pet Care,1.0
217,forever,General Merchandise,0.96
218,wok,Food and Beverages,0.99
219,dollartree,General Merchandise,1.0
220,pendingubercom,Travel,1.0
221,texaco,Automotive,0.96
222,sephora,General Merchandise,1.0
223,applecombi,General Merchandise,1.0
224,cinemark,Entertainment,1.0
225,hannaford,Groceries,0.98
226,disneyplus,Entertainment,0.96
227,japanese,Food and Beverages,0.99
228,barrel,Food and Beverages,0.92
229,gco,General Merchandise,0.9
230,draftkings,Entertainment,1.0
231,cinemas,Entertainment,0.99
232,mapco,Automotive,0.98
233,ppapplecombill,General Merchandise,1.0
234,grouponcom,General Merchandise,1.0
235,jamba,Food and Beverages,1.0
236,loco,Food and Beverages,0.96
237,raceway,Automotive,0.98
238,annes,Food and Beverages,0.98
239,teeter,Groceries,1.0
240,fandangocom,Entertainment,1.0
241,bistro,Food and Beverages,0.96
242,amzncombi,General Merchandise,0.98
243,valero,Automotive,0.96
244,amzncombillwaus,General Merchandise,0.97
245,toyota,Automotive,0.95
